,id,conversation_id,author_id,created_at,text,entities,public_metrics,lang,sentiment,clean_text,hashtags,political,alignment
0,1539511581964480512,1537054464263303168,1219546286019555328,2022-06-22T07:32:18.000Z,@blackcointelpro @TishJames Liked &amp; Shared 👊🏾‼️🙏🏾🔥👩🏽‍🎓👨🏾‍🎓 https://t.co/wXthgjEI8B,"{'mentions': [{'start': 0, 'end': 16, 'username': 'blackcointelpro', 'id': '1195391801722621954'}, {'start': 17, 'end': 27, 'username': 'TishJames', 'id': '28502793'}], 'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/wXthgjEI8B', 'expanded_url': 'https://twitter.com/OptimistInsane/status/1539511581964480512/photo/1', 'display_url': 'pic.twitter.com/wXthgjEI8B', 'media_key': '3_1539511578969636864'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",en,0.6369,liked shared,,0.1738295902436235,0.1107120660261638
1,1537064609433038848,1536921976824029185,1512872064352366600,2022-06-15T13:28:54.000Z,@SnarkkTank I hope you're right!,"{'mentions': [{'start': 0, 'end': 11, 'username': 'SnarkkTank', 'id': '1507033603418595337'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",en,0.4926,hope right,,0.07234623889584949,0.03563775728009545
2,1537029297386438656,1536921976824029185,1331710792748703753,2022-06-15T11:08:35.000Z,@SnarkkTank Wish I could sit next to you and throw popcorn at the television.,"{'mentions': [{'start': 0, 'end': 11, 'username': 'SnarkkTank', 'id': '1507033603418595337'}]}","{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0, 'impression_count': 0}",en,0.4019,wish could sit next throw popcorn television,,0.17519535415560303,0.07041101283513686
3,1536948628979187712,1536921976824029185,1479111358868168704,2022-06-15T05:48:02.000Z,@SnarkkTank I sure hope so! I’d love to see her smug ass hauled to jail.,"{'mentions': [{'start': 0, 'end': 11, 'username': 'SnarkkTank', 'id': '1507033603418595337'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",en,0.8058,sure hope love see smug as haul jail,,-0.07757079608881084,-0.06250654748836378
4,1536929317455859714,1536921976824029185,1387898126862848002,2022-06-15T04:31:18.000Z,@SnarkkTank https://t.co/rWo5OyYKSV,"{'mentions': [{'start': 0, 'end': 11, 'username': 'SnarkkTank', 'id': '1507033603418595337'}], 'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/rWo5OyYKSV', 'expanded_url': 'https://twitter.com/NOLA_girl_1/status/1536929317455859714/photo/1', 'display_url': 'pic.twitter.com/rWo5OyYKSV', 'media_key': '16_1536929311382446081'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'impression_count': 0}",qme,0.0,,,0.0,0.0
5,1536927947273211904,1536921976824029185,1268975877150461952,2022-06-15T04:25:52.000Z,"@SnarkkTank BoBo, Forehead, 3-Toes, Cancun, and Roller having a coke orgy?","{'annotations': [{'start': 12, 'end': 15, 'probability': 0.5984, 'type': 'Other', 'normalized_text': 'BoBo'}, {'start': 18, 'end': 25, 'probability': 0.5953, 'type': 'Other', 'normalized_text': 'Forehead'}, {'start': 28, 'end': 28, 'probability': 0.5227, 'type': 'Other', 'normalized_text': '3'}, {'start': 36, 'end': 41, 'probability': 0.7752, 'type': 'Other', 'normalized_text': 'Cancun'}, {'start': 48, 'end': 53, 'probability': 0.8352, 'type': 'Other', 'normalized_text': 'Roller'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'SnarkkTank', 'id': '1507033603418595337'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",en,0.0,bobo forehead toes cancun roller coke orgy,,0.046458517079119334,0.0
6,1536927508955897858,1536921976824029185,1459932922597806081,2022-06-15T04:24:07.000Z,"@SnarkkTank Turns out , Donald isn’t the one who’s draining the swamp, but someone sure is 😂","{'annotations': [{'start': 24, 'end': 29, 'probability': 0.7702, 'type': 'Person', 'normalized_text': 'Donald'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'SnarkkTank', 'id': '1507033603418595337'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",en,0.4497,turns donald one draining swamp someone sure,,0.08090046176616172,0.03638093765624292
7,1536922890326532096,1536921976824029185,77321664,2022-06-15T04:05:46.000Z,@SnarkkTank Here's the dirt on Boebert. https://t.co/VgWeQiAD1l,"{'annotations': [{'start': 31, 'end': 37, 'probability': 0.7476, 'type': 'Person', 'normalized_text': 'Boebert'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'SnarkkTank', 'id': '1507033603418595337'}], 'urls': [{'start': 40, 'end': 63, 'url': 'https://t.co/VgWeQiAD1l', 'expanded_url': 'https://twitter.com/jennybizh/status/1536828973153394690?s=21&t=Di6kJ6q6aprT_nW2CNkzKA', 'display_url': 'twitter.com/jennybizh/stat…'}]}","{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0, 'impression_count': 0}",en,-0.34,dirt boebert,,0.17139582055462269,-0.05827457898857172
8,1537161159467380736,1536877826556760065,1076972630635274240,2022-06-15T19:52:34.000Z,"@liberte_ny @GrammiePammie14 AND the guy taking pics was video'd walking towards the Capitol threatening Pelosi et al.

Video is a must see.","{'annotations': [{'start': 85, 'end': 91, 'probability': 0.8475, 'type': 'Place', 'normalized_text': 'Capitol'}, {'start': 105, 'end': 110, 'probability': 0.9511, 'type': 'Person', 'normalized_text': 'Pelosi'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'liberte_ny', 'id': '1225971763437330434'}, {'start': 12, 'end': 28, 'username': 'GrammiePammie14', 'id': '1350303464732168193'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",en,-0.5267,guy take pic video walk towards capitol threaten pelosi et al video must see,,-0.00725109231166547,0.003819150320554203
9,1537109419091283976,1536877826556760065,457085519,2022-06-15T16:26:58.000Z,@liberte_ny @angie_keathly The more that these “tours” surface the more we see coup pre-planning which strongly speaks to intent. They should be handing out indictments like candy on Halloween!,"{'annotations': [{'start': 183, 'end': 191, 'probability': 0.6495, 'type': 'Other', 'normalized_text': 'Halloween'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'liberte_ny', 'id': '1225971763437330434'}, {'start': 12, 'end': 26, 'username': 'angie_keathly', 'id': '1169016223755096065'}]}","{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",en,0.5983,tour surface see coup pre planning strongly speak intent hand indictment like candy halloween,,-0.002546836438308192,-0.0015237722410397915
